artist_mbid,total_listen_count,total_user_count
3856ff22-e814-440e-b6fa-a760d11a877e,3152,230
b1fe5388-027e-4038-a929-7699f3a00ac4,10664,711
f9dab2de-f9d8-420f-b9fc-baa6be04c0d9,318294,15347
0687bec7-6dad-4481-a5f6-3c7810f6f42e,265,52
23ca355e-a5af-4395-ae62-36e374028dab,27155,734
fb48516f-99cb-4a70-ab9c-6e94a9236334,534,29
5dca8282-e4b3-4db3-a59b-1bfa7f547cd3,28999,3290
4f13e8cb-11aa-4b1a-8bb5-0ad1437dbdee,4070694,79718
73b8dddb-ec29-4d11-b449-d97fde73f07b,261086,21972
3c2c34c6-11de-48b2-947d-6b8f96d59844,1077010,33963
97417292-3fb0-40ea-8837-5540cfb4de71,1322286,18037
743df3d2-796b-4356-9f83-2948997cae9e,10794,472
de47d287-c17b-4480-90a1-2ff16ed36773,3090,167
220e6bbb-2d31-42fd-861c-c355cc4ea8a9,6007,1181
1f291fda-6b00-4a82-bdf7-eb92135f9e47,3306,651
22a94cd7-cb1f-4b67-9be6-46d465ffc787,139123,7502
f73fb555-9bce-4c67-b101-311efd2e9f79,12195,1726
b6ea96db-17d8-429c-b31e-82e381dd1c7e,3998,669
c9584c27-f240-4f0e-8e82-3470111f24be,361031,21842
c3ac0d79-8adc-42db-aa70-9ab15e980f3d,259316,16197
84b0af1a-8f10-433f-a1ed-948e71712b16,830735,55063
9247edb7-1bb5-43f2-a58f-185a8ba6044f,733069,17657
b1ec6163-5887-400b-bbf3-33ce6e864786,201,41
dbb29763-c69e-4ec8-bc3f-db5f7c2ea076,341,80
1d7e5d38-bb29-4aad-9f97-fe7b70ec27ce,2323,434
11cb567e-ecac-4226-8944-f862440e8bca,189264,15930
82f0c90b-52b2-4f6d-80bf-1a193271cce8,6126,291
369abceb-289d-4a4f-b807-801f16fb8663,131366,3116
f6de436d-83c3-4bae-818f-0eede941df81,152045,12889
1074160c-85cf-488a-bc87-ef42424b851b,1685,440
2993f855-403f-4c6a-bea9-088cd5d354dc,200669,22506
3835522c-2632-43a3-bc9f-b913a1764c7f,2589,537
8d257bcf-1168-40f3-9ca3-bfbadc979d77,4425,488
2c81a086-5f72-4ece-a890-bf26fd0090c1,33276,3444
d60583e5-3bb9-4b00-acd6-26e7a6066f3a,142409,7645
92a3624a-62f7-483f-8f87-96df6698efa1,5434,355
a78ef19a-5fba-46fd-b50e-ff95a45693aa,1563999,18173
21462e8d-d20b-4049-bcbd-57e0a4b9be5c,44105,3576
52af3269-eea6-4bde-80ad-01a0722d0c53,158301,9588
1ffa2a0d-74e8-43f0-8318-3a02e146d97c,1,1
5545a012-0977-46ff-9d69-39bf5952616f,445998,33092
64a3146c-452c-456a-96e8-09642327b0fc,4904,515
22b6b970-e66c-4169-b790-5ac42671d5fa,3131,216
acd8fc61-ab7a-41fb-8da2-8b63f8aa4243,217,25
406ff146-022c-4206-b753-bf480d3259b0,183062,12443
10bb88d0-0003-4e7f-9581-0f12ab2ae6ff,172190,10556
23d0b15f-b6b5-489b-b2a1-0333bd8db44b,185513,5754
5def5b46-569d-4910-a580-db409b399c13,14293,467
beaf37b3-9ace-43ee-9a77-259e076d13ff,3205,608
3362f019-06a5-4591-ab5d-1e331049f14a,86030,10252
6b43356c-ab09-4dc4-893b-84fc18822eba,7041,1374
1e9aa4bd-9689-4535-9665-7f661d63d1c8,63699,5714
aee59a3f-413a-4ab8-8c76-a1f58fae2965,2160,227
94879e7e-095a-44bf-8916-2246ea53e931,231349,7195
a4e14b84-be3f-4cf3-a0d5-54c3c8c4089b,31340,5787
d9ea7714-c3aa-4a2e-9e0c-dbd1cd646970,22424,1733
11ebbdd9-d907-48a8-8a3a-151effb26e2a,43011,3222
df142807-4228-40e3-b338-1d18030da85e,252333,14452
c57580b6-2394-4559-a342-361880e567bb,42340,5817
c96dcca2-d868-4739-a034-7a2746e29282,16852,580
8eabb7dd-135c-4ede-af9d-541b3a93c587,4794,223
96f8c414-b03b-47b6-b41d-bdaeff35cbdb,110070,4250
51af0b6a-083a-4da7-99ee-3a94843269c2,677653,10161
15741996-1794-42a8-a2c7-1ce3e32d0d75,31499,1056
9ff60a50-6288-4b46-8b69-75877450d282,452753,15667
9546a92f-cf91-4255-b18d-71441058b8f6,8418,431
2f93389a-eb72-4a4a-8b08-bc38132d2ecb,1111,90
a4b3fb24-a04e-4249-9fa5-5a198ca9d73c,253395,15383
93da8c8a-bd13-4418-a00e-2861b8518a8d,435229,22650
77622477-d0cb-45c0-929a-9e31f8b821dd,3135,455
abb91078-f7db-41f2-8f07-7f37bb739143,1272118,19119
c694bf65-83e9-47d5-aeb3-bb68f78ef981,744094,19432
61dec3a8-94f1-4d2d-a654-432577c7dba7,26207,1227
697ea2f4-4f79-466a-8c57-29d5455b68bd,137612,15613
83a2e0fb-3d9b-46ff-b383-3dde54c15297,177974,20647
826b488f-5164-45ca-abc4-ab11b3c321eb,175043,20349
924203bb-da5f-4bd0-9630-c753c7cb9774,193204,15147
5be7d200-5499-4bba-b29b-1ac554199d23,847591,21471
dbf0a5c5-3665-4495-b13b-99438a6a0900,373054,17855
f5608fe1-1e68-418b-a80b-b6e8c057481f,481,76
9a263418-9d03-42a8-9389-5ce7cea86a8f,334,55
1d538c20-f675-4286-84ef-5bdd3e70e556,1220,184
a83233a1-0f5c-4b8d-9f0f-b440767f58c6,25681,1376
f5042740-3a77-49d0-a08a-bbe0ce0a0ffe,17699,931
63f1a974-d737-42f7-a0d6-b7d120e8160d,1163,209
ef9d0b13-a7c1-457d-8a8e-cbcf7f350eb2,629,84
df364c42-9f03-4b85-8bff-e245bc7f64e9,3548,320
9f7483cf-d8aa-45ce-b90c-da2e359a7815,29986,5255
e9f34d84-4b44-43d2-a2a2-00f5c235a2c1,2656,345
e122bd0c-ec26-491f-ad0b-dbc53a04e9c1,9888,1210
b6fa9b9b-41cf-45a6-adc0-0a4c9a8c0d3c,707714,28799
67f0c7ca-14e8-47a3-be0e-bd2f2ffe25bb,255726,20253
0c229915-d2cc-4dff-b4b3-f7c128cc3493,514,67
afa0218d-4ef9-4341-bd2c-e617305a4886,198,51
421d18f9-16b8-4e08-bc01-219e9ebc4be6,678,104
ff031437-a78e-46f4-88a1-ab876bf0725d,301774,19606
efeb0dd7-eea7-420f-b071-cf0f429dd55a,1595,299
21c5fb53-6fbc-4080-989a-b26d4540f4fd,296103,21761
f1745cca-1cae-4696-a0d3-62553c742b0c,46949,3572
6514cffa-fbe0-4965-ad88-e998ead8a82a,838622,46275
8a7a7d2c-f9c9-475b-be6d-daceaeba8f32,145971,10603
d1aed914-6a94-4643-9af4-b80682aa6c14,30496,3020
53dd0229-8a42-4bd7-8ffb-29bdec25e9c6,44756,6017
fce925cd-ed10-4518-8713-6f20d146e4fb,338497,18188
be69bee9-2884-4cf3-9750-dd76faf6df94,370615,26496
