area_mbid,area_name,area_sort_name,area_type,area_type_id,iso_codes,disambiguation,begin,end,ended
67257ad5-8e92-44e7-a929-763c1bbaad6f,Saint-Rirand,Saint-Rirand,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
53f6f938-3b4d-48a0-92ac-f54171d38ef9,Pillon,Pillon,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
dea24e90-b215-45ba-b233-efcdd70189fe,Stonne,Stonne,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
fbe8ecc4-1677-4c0d-bc17-f9adb9ec74ea,Domremy-la-Canne,Domremy-la-Canne,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
04701469-1c7a-4a0e-82ca-4670c7a765a3,Jeu-les-Bois,Jeu-les-Bois,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
0dd119f7-5fac-4f42-b6fc-4ced084804e5,Canohès,Canohès,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
1d9eb95e-9716-40cf-914a-9e847b97ff14,Messincourt,Messincourt,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
ca7fde64-fd7d-424a-91f8-6be728bbb703,Monguilhem,Monguilhem,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
2034f3e1-40ed-45c8-a086-28af0ecc197c,Rembercourt-Sommaisne,Rembercourt-Sommaisne,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
2e0daf19-5c06-4bfd-8252-8f607b59a6dc,Muzeray,Muzeray,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
ae660f4b-66e8-4861-b34b-bec2b97a208f,Cours,Cours,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f705a5f0-9834-4dba-83e7-d2f1efb27250,Vouneuil-sous-Biard,Vouneuil-sous-Biard,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
0b1d9427-a1c2-4391-8b59-15f8043c0f0d,Montigny-sur-Canne,Montigny-sur-Canne,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
46f9701c-028f-4d1d-a829-2bfec4f95aaa,Oeyreluy,Oeyreluy,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
c1f4f4fa-24a6-4003-b5d0-77219ae093c3,Gamarde-les-Bains,Gamarde-les-Bains,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
e1603ddc-a02d-4a6b-98d9-0ada6cfd4925,Condeissiat,Condeissiat,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d36a2aaf-678d-413c-9e16-533d8d21a924,Saint-Chamarand,Saint-Chamarand,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
cc39c3cf-b420-48f6-bdca-7fc6001646b1,Jeanménil,Jeanménil,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
60c125ec-9cfc-4352-aa1b-22969d668f34,Bonneuil-les-Eaux,Bonneuil-les-Eaux,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
6901e8f1-f685-431c-b0b4-350d5de4fc98,Vendresse,Vendresse,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
33002d24-c279-41b9-8159-22cc822b0014,Fay,Fay,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
eaec3a67-9561-41a0-b13d-8ce2aeb5ea25,Marsangy,Marsangy,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
35ffc350-1664-4193-a943-eca97dae0c4a,Bizeneuille,Bizeneuille,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
08753756-ad6c-4f8b-8e44-8551ebb26da6,Villargoix,Villargoix,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
